Fecha,AL30,ALUA,AUSO,BMA,BYMA,CEPU,CGPA2,COME,CVH,DICP,EDN,GGAL,LOMA,MIRG,MOLA,MOLI,MORI,PAMP,PR13,SUPV,TC23,TECO2,TGNO4,TGSU2,TRAN,TX26,TXAR,VALO,YPFD
2/12/2022,7530,164.25,285,457.3,204,178.75,160,18.05,832,4305,118.2,266.2,427,4300,3055,190,17.5,376.7,796,120.4,794.8,305,265,646,148,211.5,184,62,2732
1/12/2022,7630,168,270,463.25,205.75,184.4,157.75,17.9,792,4295,118.75,263,441,3939,2840,190,16.1,380,780,120.95,785,288,259,657,141.75,209,184.25,61.6,2754
30/11/2022,7470.5,166.5,253.5,466.3,205,180.5,155.5,18.2,780,4250,117.2,260.5,436,3860,2785,188,16.1,375,788.5,117.25,783,290,249,646.85,131,206.85,185.25,59,2736
29/11/2022,7200,164,247,446.5,194.75,183,154,18.5,753,4225,118,255,433,3851.5,2755,187,15.85,376,799,114.5,778,293,241.75,644,129,199.5,188,58.8,2784.6
28/11/2022,7072,157.5,239.5,445,190,177,155.5,18.7,758,4140,118,252,414.7,3776,2747.5,180.5,15.5,360.4,795,115,777.5,278.5,229,601.5,123,196.4,185,58.4,2706.35
25/11/2022,7070,152.5,240,453.25,190.75,176,152,18.35,752,4150,117,252,420,3760,2788,179.5,16,355.95,786,116.85,779,289.45,222.75,606.5,123,196.8,184.5,58.6,2680
24/11/2022,7163,151,238,444.5,192,170,146,18.45,740,4185,116.25,247.5,430,3777,2730,179,16.7,347.5,787,113.5,779,288,213,593,120.5,197.15,189,58.3,2570
23/11/2022,6975,149,225,434.2,189,166,133,17.9,733,4200,115.3,245,419.5,3721.5,2722,183,16.5,346,790,111.1,770,282,214,586,116,197.3,181,58.6,2510
22/11/2022,6910,151,221.25,433.6,190.5,159,128,17.5,718.5,4130,117.6,242.05,428.15,3700,2780,184,16.55,348,790.3,110,767,280.95,213.5,597.6,118.5,197.2,187,58.6,2508.4
21/11/2022,6704,155,236.25,427.5,194.75,159,118.5,16.45,717,4215,119.35,242.55,423.65,3747,2808,177.25,16.6,350.75,782.3,111.15,762.2,271.8,207.5,576,119.75,197.85,184,59.1,2480.6
18/11/2022,6697,155,239,427.75,194.5,159,119,16.4,717,4200,119.5,242.55,420,3744.5,2734,177,16.6,351.85,782.3,111.6,764,271.5,207,576,119,198.3,184.75,58.9,2480
17/11/2022,6995,153.5,234,430,190,152.85,116.5,16.2,702.5,4080,118,242,409.8,3749,2819.5,169.5,16.5,348.25,780,111.75,762,264,198.5,573,116,197.5,181.5,59,2494
16/11/2022,7056,150.25,235,420,191.75,150,116.75,16.149,700.5,4015,116,238.8,400,3780,2785,169,16.3,341,755,115.5,755,265,201.5,565,113.75,199.15,177.75,58.9,2500
15/11/2022,6730.5,150.75,239.5,424,186.75,153,111,16,691.5,4110,113.5,239.95,395,3820,2790,168.5,16.2,345,750,116,758,257.8,192.5,570,106.5,200.95,177.25,58.4,2600.25
14/11/2022,6346,149,229,423,181.5,151,108,15.4,690,4167.5,109.5,237,397.05,3849,2766,171,16.4,334,749,116,758,252.9,179.5,552.35,104,202.5,179.75,58.4,2520
11/11/2022,6182,146.5,230.5,424.1,176,146.9,104,15.1,684.5,4186,105,238.85,396,3710,2801,171.5,16.65,321.5,752,116.2,755.1,245.65,172,528.4,102,202.4,185.75,57.5,2390
10/11/2022,6167,142.5,232.75,409.5,171,140.8,100.25,14.55,700,4195,101.75,230.75,381.85,3645,2800,169,16.3,311.5,789,114.6,758.9,250,164.5,505,99,202.4,179,54.5,2230
9/11/2022,5960,137,224,409.5,167,140,102.5,14,709.5,4214.5,103,227.1,384.5,3630,2900,166.25,16,309.5,776.9,116.75,752,246.5,162,507,96.4,203.15,174.25,53.1,2196
8/11/2022,6037,132.5,235,433.05,169,147,100.5,14.4,717,4319,104.75,236,409.5,3740,2950,171,16.4,319,775,119.15,751.8,253,168,540,97.9,203.45,171,54,2377
